dessert	dI'zx:t	десерт; сладкое		
destination	.destI'neISn	место назначения		
destined	'destInd	предназначенный; направленный; посланный		
destiny	'destInI	судьба		
destitute	'destItju:t	лишённый		
destroy	dI'strOI	разрушать; ломать; уничтожать		
destroyer	dI'strOIq	разрушитель; эсминец; истребитель		
destruction	dI'strAkSn	разрушение; уничтожение		
destructive	dI'strAktIv	разрушительный		
desultory	'desqltqrI	несвязанный; беспорядочный		
detach	dI'txtS	отделять; отрывать; отсоединять		
detached	dI'txtSt	отдельный; отдельно стоящий; беспристрастный		
detail	'di:teIl	деталь; подробность		
detailed	'di:teIld	подробный; детальный	a detailed account of; a detailed report/description	
detain	dI'teIn	задерживать		
detect	dI'tekt	обнаруживать		
detective	dI'tektIv	детектив		
detector	dI'tektq	прибор для обнаружения; детектор	a lie/mine/smoke detector; a metal detector	детектор лжи, миноискатель, дымоуловитель; ворота
detention	dI'tenSn	задержание; содержание под арестом или тюремное заключение; оставление после уроков		
deter	dI'tx:	удерживать; останавливать		
detergent	dI'tx:dZqnt	стиральный порошок; моющее средство	a liquid detergent	жидкое моющее средство
deteriorate	dI'tIqrIqreIt	ухудшаться; портиться		
determination	dI.tx:mI'neISn	решимость; решительность		
determine	dI'tx:mIn	влиять; обуславливать; определять; устанавливать; определять; решать; постановлять		
determined	dI'tx:mInd	решительный		
detest	dI'test	ненавидеть	to detest washing-up; to detest people who tell lies	
detonate	'detqneIt	взрывать	to detonate a bomb	взрывать бомбу
detour	'di:.tǔq	объезд	to make/to take a detour	ехать в объезд
detract	dI'trxkt	умалять; уменьшать		
detriment	'detrImqnt	ущерб; вред		
devaluation	.di:vxljǔ'eISn	девальвация	a further devaluation of the rouble	дальнейшая девальвация рубля
devalue	.di:'vxlju:	девальвировать	to devalue currency; to devalue smb's work unjustly	
devastate	'devqsteIt	разрушать; опустошать	towns devastated by fire/war; crops devastated by floods	
devastating	'devqsteItIN	разрушительный; опустошительный; потрясающий		
devastation	.devq'steISn	опустошение; разрушение	complete/total/utter devastation; to cause devastation	полное опустошение/разорение; разрушать/опустошать
develop	dI'velqp	развивать; проявлять; обнаруживать		
development	dI'velqpmqnt	развитие; рост; событие; новое в ситуации		
deviate	'di:vIeIt	отклоняться; отступать		
deviation	.di:vI'eISn	отклонение; отступление		
device	dI'vaIs	приспособление; устройство; приём		
devil	'devl	дьявол; чёрт; человек; парень		
devious	'di:vIqs	непрямой; окольный; хитрый; нечестный		
devise	dI'vaIz	придумывать; изобретать	to devise a plan/a scheme; to devise the plot for a story	придумать план/схему; придумать сюжет для рассказа
devoid	dI'vOId	лишённый		
devote	dI'vqǔt	посвящать		
devoted	dI'vqǔtId	преданный; отдающийся чему-л. полностью		
devotion	dI'vqǔSn	преданность; приверженность		
devour	dI'vaǔq	пожирать		
dew	dju:	роса	wet with dew; dew forms during the night	мокрый от росы; роса выпадает ночью
dexterity	dek'sterqtI	умение; мастерство	great dexterity; manual dexterity	большое мастерство; умение работать руками
diabetes	.daIq'bi:ti:z	диабет	to develop diabetes	заболеть диабетом
diabetic	.daIq'betIk	больной диабетом; диабетический	she is a diabetic; diabetic jam	у неё диабет; джем для больных диабетом
diabolic	.daIq'bPlIk	дьявольский; сатанинский	a diabolic plan; diabolic cruelty; diabolic weather	
diabolical	.daIq'bPlIkl	дьявольский; сатанинский	a diabolical plan; diabolical cruelty; diabolical weather	
diagnose	'daIqgnqǔz	ставить диагноз; диагностировать		
diagnoses	.daIqg'nqǔsi:z	diagnosis		
diagnosis	.daIqg'nqǔsIs	диагноз	to make/to give a diagnosis; to confirm a diagnosis	ставить диагноз; подтвердить диагноз
diagonal	daI'xgqnl	диагональ; диагональный		
diagram	'daIqgrxm	схема; диаграмма; рисунок		
dial	'daIql	циферблат; ручка настройки; наборный диск телефона; набирать номер		
dialect	'daIqlekt	диалект		
dialogue	'daIqlPg	диалог		
diameter	daI'xmItq	диаметр	a planet over 20,000 kms in diameter	планета диаметром более двадцати тысяч километров
diamond	'daIqmqnd	алмаз; бриллиант; ромб		
diamond wedding	.daIqmqnd'wedIN	бриллиантовая свадьба		
diaper	'daIqpq	пелёнка		
diaphragm	'daIqfrxm	диафрагма; противозачаточный колпачок; диафрагма	to insert a diaphragm	вставлять диафрагму
diarrhea	.daIq'rIq	понос; диарея	severe diarrhea; to come down with/to have diarrhea	сильный понос; страдать поносом
diarrhoea		понос; диарея	severe diarrhoea; to come down with/to have diarrhoea	сильный понос; страдать поносом
diary	'daIqrI	дневник; дневниккалендарь		
dice	daIs	игральная кость; игра в кости; резать кубиками		
dictate	dIk'teIt	диктовать; предписывать; диктовать		
dictation	dIk'teISn	диктовка; диктант		записывать рассказ под чью-л. диктовку; дать кому-л. диктант
dictator	dIk'teItq	диктатор	an absolute/military dictator; a brutal/ruthless dictator	абсолютный/военный диктатор; жестокий диктатор
dictatorship	dIk'teItqSIp	диктатура		неограниченная/военная диктатура; устанавливать диктатуру
dictionary	'dIkSqnrI	словарь; справочник		
did	dId	do		
didn't	'dIdnt	did not		
die	daI	умирать; погибать; глохнуть; засыхать; вянуть		
to die away		затихать	the cheers died away; the wind died down	приветственные возгласы стихли; ветер утих
to die out		вымирать	many species of animals died out	многие виды животных вымерли
diesel	'di:zl	дизель:	a diesel engine; diesel fuel/oil	дизельный двигатель; дизельное топливо
diet	'daIqt	питание; пища; диета; быть на диете		
differ	'dIfq	отличаться; расходиться во мнениях		
difference	'dIfrqns	разница; различие; разногласие		
different	'dIfrqnt	разный; различный; другой		
differentiate	.dIfq'renSIeIt	различать; разграничивать; отличать		
difficult	'dIfIkqlt	трудный		
diffuse	dI'fju:z	рассеянный; расплывчатый; многословный; распространять; рассеивать; излучать		
dig	dIg	раскопки; толчок; копать; рыть		
to dig into			to dig into the files; to dig into one's bag/pockets	перерыть всю картотеку; рыться в сумке/карманах
to dig out		выкапывать; раскапывать; докапываться		
to dig up		выкапывать	to dig up a rose bush; to dig up a scandal	
digest	dI'dZest	краткое изложение; дайджест; переваривать; усваивать; усваивать		
digestion	dI'dZestSqn	пищеварение	a poor/weak digestion; to aid digestion	плохое пищеварение; способствовать пищеварению
digestive	dI'dZestIv	пищеварительный	the digestive system; digestive trouble	система пищеварения; расстройство желудка
digit	'dIdZIt	цифра; однозначное число; палец	the number 147 contains three digits	число 147 состоит из трёх цифр
digital	'dIdZItl	цифровой	a digital watch/clock; a digital computer	цифровые часы; цифровой компьютер
dignified	'dIgnIfaId	достойный		
dignity	'dIgnqtI	достоинство		
digress	daI'gres	отклоняться; отступать	to digress (slightly) from the main subject/story	отклониться от основной темы
digression	daI'greSn	отклонение; отступление		
dilapidated	dI'lxpIdeItId	ветхий; полуразвалившийся; полуразрушенный		
dilemma	dI'lemq	дилемма		
diligent	'dIlIdZqnt	старательный; усердный; кропотливый		
dill	dIl	укроп		
dilute	daI'lju:t	разбавлять	to dilute orange juice with water; to dilute paint with oil	разбавлять апельсиновый сок водой; разводить краску маслом
dim	dIm	тусклый; неясный; смутный; слабый; слабоумный; тупой; делать тусклым; затуманивать		
dime	daIm	десятицентовая монета		
dimension	dI'menSn	измерение; сторона; аспект; размеры		
diminish	dI'mInIS	уменьшать		
diminutive	dI'mInjǔtIv	уменьшительное слово; крохотный; малюсенький; уменьшительный		крохотная фигурка человека вдалеке; уменьшительный суффикс
dimple	'dImpl	ямочка	a dimple in smb's cheek/chin	ямочка на щеке/подбородке у кого-л.
din	dIn	шум; грохот	the din coming from the disco; to make a terrible din	шум, доносящийся из дискотеки; производить ужасный шум
dine	daIn	обедать	to dine off lamb chops; to dine at a restaurant	есть на обед телячьи отбивные; обедать в ресторане
to dine out		обедать в ресторане	we are dining out tonight	сегодня мы идём обедать в ресторан
dinghy	'dINgI	маленькая лодка	a rowing dinghy; a rubber dinghy	ялик; резиновая лодка
dining	'daInIN		a dining room/table; a dining car	столовая, обеденный стол; вагон-ресторан
dinner	'dInq	обед		
dinner jacket	'dInq.dZxkIt	смокинг		
dip	dIp	впадина; углубление; уклон; купание; соус; приправа; окунать; обмакивать; опускать		
to dip into		бегло просматривать	to dip into a report/a book	бегло просмотреть отчёт, заглянуть в книгу
diphtheria	dIf'TIqrIq	дифтерия		
diploma	dI'plqǔmq	диплом		
diplomacy	dI'plqǔmqsI	дипломатия; дипломатичность; такт		
diplomat	'dIplqmxt	дипломат; тактичный; дипломатичный человек	a professional diplomat	профессиональный дипломат
diplomatic	.dIplq'mxtIk	дипломатический; дипломатичный; обходительный		
dire	'daIq	ужасный; страшный		
direct	dI'rekt	прямой; прямой; открытый; честный; прямой; непосредственный; полный; точный; прямой; направлять		
direction	dI'rekSn	направление; указания; инструкция; руководство		
director	dI'rektq	директор; режиссёр; режиссёр-постановщик; руководитель		
directory	dI'rektqrI	справочник	a telephone directory	телефонный справочник
dirt	dx:t	грязь; земля; грунт		
dirty	'dx:tI	грязный; низкий; подлый; нечестный; непристойный; неприличный		
dirty work	'dx:tIwx:k	неприятная работа; грязные делишки; махинации		
disability	.dIsq'bIlqtI	физический или умственный недостаток		
disable	dIs'eIbl	калечить; делать нетрудоспособным		
disabled	dIs'eIbld	калека; инвалид		
disadvantage	.dIsqd'vã:ntIdZ	недостаток; невыгодное; неблагоприятное положение		
disagree	.dIsq'gri:	не соглашаться; спорить; отличаться; оказывать плохое действие; быть вредным		
disagreeable	.dIsq'grIqbl	неприятный; вредный; противный	a disagreeable taste/job; stop being so disagreeable!	неприятный вкус, -ая работа; не будь таким вредным!
disagreement	.dIsq'gri:mqnt	несогласие; расхождение во мнениях; несоответствие; противоречие		
disappear	.dIsq'pIq	исчезать; скрываться; прекращать существование		
disappearance	.dIsq'pIqrqns	исчезновение; прекращение существования		
disappoint	.dIsq'pOInt	разочаровывать		
disappointing	.dIsq'pOIntIN	разочаровавший; неутешительный		
disappointment	.dIsq'pOIntmqnt	разочарование		
disapproval	.dIsq'pru:vl	неодобрение		
disapprove	.dIsq'pru:v	не одобрять; осуждать	to disapprove of; to disapprove completely/utterly	
disarm	dIs'ã:m	обезоруживать; разоружать; обезоруживать; умиротворять		
disarmament	dIs'ã:mqmqnt	разоружение		
disarray	.dIsq'reI	беспорядок; смятение	total disarray; in disarray	
disaster	dI'zã:stq	бедствие; катастрофа		
disastrous	dI'zã:strqs	бедственный; гибельный		
disbelief	.dIsbI'li:f	неверие; недоверие		
disc		диск; круг; межпозвоночный хрящ; диск; граммофонная пластинка; магнитный диск		
disc jockey	'dIsk.dZPkI	диск-жокей		
discard	dIs'kã:d	бросать; выбрасывать; сбрасывать карту		
discern	dI'sx:n	различать		
discharge	dIs'tSã:dZ	выпуск; спуск; сброс; увольнение; освобождение; исполнение; выполнение; увольнять; освобождать; выпускать		
disciple	dI'saIpl	последователь; ученик; апостол	an ardent/devoted/fanatical disciple	ревностный/верный/фанатичный последователь
discipline	'dIsIplIn	дисциплина; дисциплина; предмет		
disciplined	'dIsIplInd	дисциплинированный	highly disciplined; a disciplined life	высокодисциплинированный; строго регламентированная жизнь
disclose	dIs'klqǔz	раскрывать; предавать гласности		
disclosure	dIs'klqǔZq	разглашение; раскрытие; разоблачение		
disco	'dIskqǔ	дискотека	a local disco; to go out to a disco	местная дискотека; пойти в/на дискотеку
discomfort	dIs'kAmfqt	недомогание; трудность; неудобство; неловкость; стеснённое положение		
disconcert	.dIskqn'sx:t	приводить в растерянность; замешательство; смущать		
disconnect	.dIskq'nekt	разъединять; отсоединять; отключать		
disconnected	.dIskq'nektId	несвязный; бессвязный; сбивчивый		
discontent	.dIskqn'tent	недовольство; досада		
discontented	.dIskqn'tentId	недовольный	to be discontented with; to look discontented	/ быть недовольным кем-л./чем-л.; выглядеть недовольным
discontinue	.dIskqn'tInju:	прекращать; прерывать		
discord	dIs'kO:d	разногласие; разлад		
discount	'dIskaǔnt	скидка		
discourage	dI'skArIdZ	обескураживать; отговаривать		
discourse	'dIskO:s	лекция; речь; разговор; беседа		
discover	dI'skAvq	открывать; обнаруживать; раскрывать; выяснять		
discovery	dI'skAvqrI	открытие		
discredit	dIs'kredIt	дискредитировать; ставить под сомнение		
discreet	dI'skri:t	осмотрительный; благоразумный		
discrepancy	dI'skrepqnsI	несоответствие; расхождение		
discretion	dI'skreSn	осмотрительность; благоразумие		
discriminate	dI'skrImIneIt	различать; отличать; дискриминировать; предвзято относиться		
discrimination	dI.skrImI'neISn	дискриминация; способность различать; разборчивость		
discuss	dI'skAs	обсуждать		
discussion	dI'skASn	дискуссия; обсуждение		
disdain	dIs'deIn	презрение	to treat  with disdain; to have the greatest disdain for	
disease	dI'zi:z	болезнь; заболевание		
disembark	.dIsIm'bã:k	высаживать; выгружать		
disenchanted	.dIsIn'tSã:ntId	разочарованный	disenchanted with one's job	разочарованный в своей работе
disentangle	.dIsIn'txNgl	распутывать; развязывать; высвобождать		
disfavor	.dIs'feIvq	неодобрение; немилость		
disfavour		неодобрение; немилость		
disfigure	dIs'fIgq	уродовать		
disgrace	dIs'greIs	позор; бесчестье; немилость; позорить		
disguise	dIs'gaIz	маскировка; изменение внешнего вида; обличье; личина; изменять внешность; маскировать; переодевать; прятать; скрывать		
disgust	dIs'gAst	отвращение; внушать отвращение		
dish	dIS	блюдо; тарелка; посуда; блюдо; кушанье		
dishcloth	'dISklPT	тряпка для мытья посуды		
dishearten	dIs'hã:tn	обескураживать		
dishonest	dIs'PnIst	нечестный; непорядочный		
dishonor	dIs'Pnq	позор	to bring dishonor on/to; to prefer death to dishonor	покрыть кого-л. позором; предпочесть смерть бесчестью
dishonour		позор	to bring dishonour on/to; to prefer death to dishonour	покрыть кого-л. позором; предпочесть смерть бесчестью
dishonourable	dIs'Pnqrqbl	позорный	a dishonourable action	позорный поступок
dishwasher	'dIS.wPSq	посудомоечная машина	to load/to stack a dishwasher	загрузить посудомойку
disillusion	.dIsI'lu:Zn	разочарование; разочаровывать		
disinfect	.dIsIn'fekt	дезинфицировать	to disinfect a wound/cuts	дезинфицировать рану/порезы
disinfectant	.dIsIn'fektqnt	дезинфицирующее средство; дезинфектант	an effective disinfectant	эффективное дезинфицирующее средство
disinherit	.dIsIn'herIt	лишать наследства	to disinherit one's son	лишать своего сына наследства
disintegrate	dIs'IntIgreIt	распадаться; разваливаться		
disintegration	dIs.IntI'greISn	распад	the disintegration of an army/a country	распад армии/страны
disinterested	dIs'IntrqstId	беспристрастный; безразличный	a disinterested observer/judge; to be disinterested in	
disjointed	dIs'dZOIntId	несвязный; бессвязный		
disk	dIsk	диск; круг; межпозвоночный хрящ; диск; граммофонная пластинка; магнитный диск		
diskette	dIs'ket	дискета		
dislike	dIs'laIk	неприязнь; антипатия; не любить; испытывать неприязнь		
dislocate	'dIslqǔkeIt	вывихнуть; нарушить; расстроить	to dislocate one's arm/shoulder; to dislocate business	вывихнуть руку/плечо; расстроить дела
dislocation	.dIslqǔ'keISn	вывих; нарушение; неполадки		
disloyal	.dIs'lOIql	неверный; нелояльный	to be disloyal to one's friends/country	быть неверным другом, предать свою родину
dismal	'dIzmql	мрачный; гнетущий		
dismantle	dIs'mxntl	разбирать; демонтировать		
dismay	dIs'meI	тревога; тревожить; вселять страх		
dismember	dIs'membq	расчленять	a dismembered body	расчленённый труп
dismiss	dIs'mIs	отвергать; отбрасывать; увольнять; отпускать; распускать		
dismissal	dIs'mIsl	увольнение	unfair dismissal; dismissal from a post	несправедливое увольнение; увольнение с какой-л. должности
dismount	.dIs'maǔnt	спешиваться; слезать	to dismount from a horse/a bicycle	спешиваться с лошади, слезать с велосипеда
disobedience	.dIsq'bi:djqns	непослушание; неповиновение		
disobedient	.dIsq'bi:djqnt	непослушный; упрямый	a disobedient child; to be disobedient to	непослушный ребёнок; не слушаться кого-л.
disobey	.dIsq'beI	не слушаться; не повиноваться		
disorder	dIs'O:dq	беспорядок; беспорядки; волнения; расстройство		
disorderly	dIs'O:dqlI	беспорядочный; находящийся в беспорядке; нарушающий порядок		
disorganized	dIs'O:gqnaIzd	неорганизованный		
disown	dIs'qǔn	не признавать своим; отказываться		
dispassionate	dI'spxSnqt	бесстрастный	a dispassionate observer; dispassionate judgements	бесстрастный наблюдатель; непредвзятые оценки/суждения
dispatch	dI'spxtS	официальное сообщение; донесение; отправлять; посылать		
dispel	dI'spel	развеивать; рассеивать		
dispense	dI'spens	раздавать; распределять; приготовлять и отпускать лекарства		
to dispense with		обходиться без	to dispense with smb's services	обходиться без чьих-л. услуг
disperse	dI'spx:s	рассеивать; развеивать; разгонять; размещать; расставлять		
displace	dIs'pleIs	перемещать		
display	dI'spleI	показ; демонстрация; проявление; дисплей; выставлять; проявлять		
displease	dIs'pli:z	быть неприятным; сердить; раздражать		поведение детей очень огорчало пожилую леди
disposable	dI'spqǔzqbl	одноразовый		
disposal	dI'spqǔzl	избавление; удаление; расстановка; расположение		
dispose	dI'spqǔz	избавляться; уничтожать; располагать; склонять		
disposition	.dIspq'zISn	нрав; характер; склонность		
disprove	.dIs'pru:v	опровергать		
dispute	dI'spju:t	спор; дискуссия; спорить; обсуждать; оспаривать; не соглашаться		
disqualify	dIs'kwPlIfaI	дисквалифицировать	to be disqualified from a race; to disqualify from driving	лишаться права участвовать в гонке; лишать водительских прав
disregard	.dIsrI'gã:d	невнимание; пренебрежение; не обращать внимания; пренебрегать		
disreputable	dIs'repjǔtqbl	сомнительный; подозрительный	smb's disreputable friends; a disreputable company/hotel	
disrepute	.dIsrI'pju:t	дурная слава		приобрести дурную славу; он позорит свою профессию
disrespect	.dIsrI'spekt	неуважение; пренебрежение		
disrespectful	.dIsrI'spektfǔl	неуважительный; непочтительный		
disrupt	dIs'rApt	нарушать; прерывать		
disruption	dIs'rApSn	нарушение	serious disruptions in train service; disruptions in routine	
dissatisfaction	'dIs.sxtIs'fxkSn	недовольство; неудовлетворённость		
dissatisfied	.dIs'sxtIsfaId	недовольный; неудовлетворённый		
dissect	dI'sekt	разрезать; рассекать; препарировать	to dissect a dead body; to dissect an earthworm	вскрывать труп; препарировать земляного червя
disseminate	dI'semIneIt	распространять	to disseminate information/new ideas/news	распространять информацию/новые идеи/новости
dissident	'dIsIdqnt	инакомыслящий; диссидент	political dissidents	политические диссиденты
dissimilar	.dI'sImIlq	несходный; разный	dissimilar tastes; to be dissimilar to	разные вкусы; быть непохожим на что-л.
dissipate	'dIsIpeIt	рассеивать; разгонять		
dissolve	dI'zPlv	растворять; аннулировать; распускать		
to dissolve into			to dissolve into tears/laughter	расплакаться/рассмеяться
dissuade	dI'sweId	отговаривать; разубеждать	to dissuade  from doing; to try to dissuade	отговорить кого-л. от какого-л. дела; пытаться отговаривать
distance	'dIstqns	расстояние		
distant	'dIstqnt	далёкий; давний; прошлый; сдержанный; холодный		
distaste	.dIs'teIst	нелюбовь; отвращение; неприязнь		
distasteful	dIs'teIstfǔl	неприятный		
distil	dI'stIl	дистиллировать	distilled water	дистиллированная вода
distinct	dI'stINkt	различный; отчётливый; чёткий		
distinction	dI'stINkSn	различие; исключительность; известность; знак отличия		
distinctive	dI'stINktIv	отличительный; характерный		
distinguish	dI'stINgwIS	отличать; различать; различить; разглядеть; отличать; характеризовать		
distinguishable	dI'stINgwISqbl	различимый; заметный		едва/легко заметный; едва различимый звук
distinguished	.dI'stINgwISt	выдающийся; известный; почётный		
distort	dI'stO:t	искажать		
distortion	dI'stO:Sn	искажение		
distract	dI'strxkt	отвлекать		
distracted	dI'strxktId	растерянный; встревоженный	a distracted look; to be distracted and troubled	обеспокоенный взгляд; быть растерянным и взволнованным
distraught	dI'strO:t	безумный; потерявший голову	distraught with grief/worry; a distraught gaze	обезумевший от горя/волнения; безумный взгляд
distress	dI'stres	горе; страдание; бедственное положение; огорчать; расстраивать		
distressing	dI'stresIN	огорчительный; неприятный	distressing news; it's all very distressing	печальная новость; всё это очень неприятно
distribute	dI'strIbju:t	распределять; раздавать; распределять; разбрасывать; распространять		
distribution	.dIstrI'bju:Sn	распределение; раздача; распространение		
distributor	dI'strIbjǔtq	распространитель; распределитель; распределитель зажигания	a local distributor	
district	'dIstrIkt	район; округ; участок		
distrust	dIs'trAst	недоверие; не доверять		
disturb	dI'stx:b	мешать; беспокоить; приводить в беспорядок		
disturbance	dI'stx:bqns	волнения; беспорядки; нарушение покоя; расстройство		
disturbed	dI'stx:bd		emotionally disturbed children; to be disturbed to learn	дети с нарушениями психики; с беспокойством узнать о чём-л.
disuse	dIs'ju:s		to fall into disuse	выйти из употребления
disused	.dIs'ju:zd	вышедший из употребления	a disused mine/railway line; a disused well	заброшенная шахта/железнодорожная ветка; заброшенный колодец
ditch	dItS	канава; ров; кювет	a drainage ditch; an antitank ditch; to go into a ditch	дренажная канава; противотанковый ров; съехать в кювет
divan	dI'vxn	тахта	a divan bed	софа
dive	daIv	ныряние; прыжок в воду; погружение; пикирование; нырять; сделать быстрое движение; шмыгнуть; погружаться; пикировать		
diver	'daIvq	ныряльщик; водолаз		
diverge	daI'vx:dZ	расходиться		
divergence	daI'vx:dZqns	отклонение; расхождение		отклонение от нормы/истины; расхождение во мнениях
divergent	daI'vx:dZqnt	различный; отличный	divergent opinions	различные мнения
diverse	daI'vx:s	разнообразный	diverse colours/interests/subjects	разнообразные цвета/интересы/темы
diversion	daI'vx:Sn	отвод; объезд; отвлечение внимания; отступление; развлечение		
diversity	daI'vx:sqtI	разнообразие		
divert	daI'vx:t	направлять в другую сторону; отвлекать		
divide	dI'vaId	делить; разделить; распределять; делить; производить деление; расходиться		
divine	dI'vaIn	божественный; восхитительный		
division	dI'vIZn	деление; разделение; деление; расхождение; различие; отдел; отделение; дивизия; подгруппа		
divorce	dI'vO:s	развод; разводить; отрывать; разъединять		
DIY	.di:aI'waI	do-it-yourself		
dizzy	'dIzI	испытывающий головокружение; головокружительный		
DJ	.di:'dZeI	disc jockey; dinner jacket		
do	dǔ. dq. d	делать; выполнять; приводить в порядок; убирать; изучать; заниматься; подходить; быть достаточным; преуспевать; справляться		
to do away with		уничтожать; отменять	to do away with nuclear waste	избавляться от ядерных отходов
to do up		приводить в порядок; застёгивать; завязывать; паковать		
to do with			I could do with a sandwich; to have nothing to do with	
to do without		обходиться без	to do without money; I can't do without you	обходиться без денег; мне без тебя не обойтись
do-it-yourself	.du:ItjO:'self	:	a do-it-yourself shop; a do-it-yourself kit	магазин "Сделай сам"; набор инструментов "Сделай сам"
docile	'dqǔsaIl	послушный	a docile child/horse	послушный ребёнок, -ая лошадь
dock	dPk	док; ставить судно в док; входить в док; стыковаться; сокращать; урезать; подрезать; укорачивать		
doctor	'dPktq	врач; доктор; доктор		
doctoral	'dPktqrql		a doctoral degree; a doctoral thesis	степень доктора; докторская диссертация
doctorate	'dPktqrqt	степень доктора		
doctrine	'dPktrIn	доктрина; теория; учение		
document	'dPkjǔment	документ; документировать		
documentary	.dPkjǔ'mentqrI	документальный фильм; документальный; документированный	a documentary film; documentary proof/evidence	
documentation	.dPkjǔmen'teISn	документация		
dodge	dPdZ	увёртка; уловка; увёртываться; уклоняться; увиливать; уклоняться		
doe	dqǔ	самка		
doer	'du:q	тот; кто делает	she's a doer, not just a talker	она не только говорит, но и делает
doesn't	'dAznt	does not		
dog	dPg	собака; кобель; самец; подлец; собака		
dogged	'dPgId	упрямый; упорный	a dogged person; dogged perseverance	упорный человек; упорная настойчивость
dogma	'dPgmq	догма	political/religious dogma	политическая/религиозная догма
dogmatic	dPg'mxtIk	категоричный; безапелляционный; догматический		
doing	'du:IN	дело; усилие		
dole	dqǔl	пособие по безработице	to be on the dole; to go on the dole	
doll	dPl	кукла		
dollar	'dPlq	доллар	the rising/falling dollar	поднимающийся/падающий курс доллара
dolphin	'dPlfIn	дельфин	a school of dolphins	стая дельфинов
domain	dqǔ'meIn	область; сфера деятельности	in the domain of science/art; to lie outside the domain of	
dome	dqǔm	купол		купол собора; купола русских церквей; голубой купол неба
domestic	dqǔ'mestIk	домашний; внутренний		
domesticate	dqǔ'mestIkeIt	приручать; одомашнивать	horses were domesticated long ago	лошади стали домашними животными очень давно
dominant	'dPmInqnt	господствующий; главный; доминирующий		
dominate	'dPmIneIt	господствовать; доминировать		
domineering	.dPmI'nIqrIN	властный; деспотический	a domineering man/personality; a domineering husband	властный человек, деспотическая натура; деспотичный муж
dominion	dq'mInIqn	доминион	Britain's imperial dominions	доминионы Британской империи
domino	'dPmInqǔ	кость домино	dominoes	игра в домино
don't	dqǔnt	do not		
donate	dqǔ'neIt	жертвовать; передавать в дар		
donation	dqǔ'neISn	пожертвование; дар		
done	dAn	do		
donkey	'dPNkI	осёл	a donkey's bray; donkey's years	ослиный крик; долгие годы
donor	'dqǔnq	донор; жертвователь; даритель		
doom	du:m	обрекать	to be doomed to failure/to die; they are doomed	быть обречённым на неудачу/смерть; они обречены
Doomsday	'du:mzdeI	Судный день	till Doomsday	до второго пришествия
door	dO:	дверь		
doorbell	'dO:bel	дверной звонок	to ring a doorbell	звонить в дверь
doorman	'dO:mxn	швейцар		
doormat	'dO:mxt	половик	to treat  like a doormat	ноги вытирать о кого-л.
doorstep	'dO:step	порог	on one's doorstep	очень близко
doorway	'dO:weI	дверной проём	to stand in the doorway	стоять в дверях
dope	dqǔp	наркотик; допинг; давать наркотики или допинг		
dormant	'dO:mqnt	дремлющий; спящий		
dosage	'dqǔsIdZ	доза; дозировка	a daily dosage of 150 mg	дневная доза сто пятьдесят миллиграммов
dose	dqǔs	доза		
dossier	'dPsIeI	досье	to have a thick dossier on	/ иметь большое досье на кого-л./что-л.
dot	dPt	точка; ставить точки; отмечать пунктиром		
double	'dAbl	двойное количество; двойник; дублёр; парные игры; удваивать; складывать вдвое; выполнять дополнительные функции; двойной; вдвое; вдвойне		
to double up		сгибаться; корчиться	to double up with pain	скорчиться от боли
double-breasted	.dAbl'brestId	двубортный		
double-check	.dAbl'tSek	перепроверять		
double-cross	.dAbl'krPs	обманывать		
double-decker	.dAbl'dekq	двухэтажный автобус		
double-glazing	.dAbl'gleIzIN	двойное остекление; двойная рама		
doubt	daǔt	сомнение; сомневаться		
doubtful	'daǔtfǔl	сомнительный; подозрительный; полный сомнений; колеблющийся		
doubtless	'daǔtlqs	без сомнения; наверняка	it will doubtless rain tomorrow	завтра наверняка будет дождь
dough	dqǔ	тесто	flaky/firm dough; to knead/to mix/to work dough	слоёное/крутое тесто; месить тесто
doughnut	'dqǔnAt	пончик	glazed/jam doughnuts; to make doughnuts	пончики с глазурью/с вареньем; печь пончики
dove	dAv	голубь	doves coo	голуби воркуют
down	daǔn	пух; печальный; подавленный; ведущий или направленный вниз; идущий из центра или из столицы; вниз; внизу; вниз; вдоль; по		
down-to-earth	.daǔntq'x:T	практичный; трезво мыслящий	a down-to-earth approach to	практичный/трезвый подход к чему-л.
downcast	'daǔnkã:st	подавленный; удручённый		
downfall	'daǔnfO:l	падение		
downhill	.daǔn'hIl	под гору; вниз		
downright	'daǔnraIt	явный; очевидный		
downstairs	.daǔn'steqz	внизу		
downward	'daǔnwqd	спускающийся; направленный вниз; вниз		
downwards	'daǔnwqdz	вниз	to lie face downwards; to look downwards	лежать лицом вниз; смотреть вниз
dowry	'daǔqrI	приданое	to provide a dowry for	давать кому-л. приданое
doze	dqǔz	дремота; дремать		
dozen	'dAzn	дюжина		
dozy	'dqǔzI	сонливый; сонный	to be/to feel dozy	хотеть спать, засыпать
drab	drxb	серый; блёклый; выцветший		
draft	drã:ft	проект; набросок; вариант; набрасывать; подготавливать черновой вариант		
drag	drxg	затруднение; препятствие; помеха; скука; скучный тип; затяжка; драга; тащить; тащиться; драгировать		
to drag on		затягиваться	the discussion dragged on for hours	дискуссия затянулась на много часов
dragon	'drxgqn	дракон		
dragonfly	'drxgqnflaI	стрекоза		
drain	dreIn	водосток; водоотвод; дренаж; сливать; дренировать; вытекать; утекать		
